Album,Artist,Genre,Favorite Songs,Rating
Only God Was Above Us,Vampire Weekend,Indie Pop,"Classical, Ice Cream Piano, Hope",g
Heavy Metal,Cameron Winter,Singer-Songwriter,"Love Takes Miles, $0, Drinking Age",g
Flower of the soul,Liana Flores,Bossa Nova / Singer-Songwriter,"Hello again, Nightvisions, I wish for the rain",g
Charm,Clairo,Soft Rock,"Juna, Nomad, Add Up My Love",g
Imaginal Disk,Magdalena Bay,Synthpop,"Killing Time, Death & Romance, Cry for Me",g
Bright Future,Adrianne Lenker,Singer-Songwriter / Indie Folk,"Sadness As A Gift, No Machine, Free Treasure",g
Samurai,Lupe Fiasco,Jazz Rap,"Samurai, No. 1 Headband, Til Eternity",g
"Where we've been, Where we go from here",Friko,Indie Rock,"Where We've Been, Get Numb To It!, Chemical",g
MINISERIES 2,"SUMIN, Slom",K-Pop / R&B,"NONE OF YOUR BUSINESS, WHY WHY WHY, TIC TOC TIC TOC",g
plastic death,glass beach,Art Rock,"coelacanth, motions, rare animal",s
CHROMAKOPIA,"Tyler, The Creator",West Coast Hip Hop / Neo Soul,"Darling I, St. Chroma, Like Him",s
The New Sound,Geordie Greep,Jazz Rock / Experiemental Rock,"Terra, The Magician, Holy Holy",s
I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,Experimental Hip Hop,"I'll Be Right There, JPEGULTRA!, SIN MIEDO",s
"SABLE,",Bon Iver,Singer-Songwriter / Indie Folk,"THINGS BEHIND THINGS BEHIND THINGS, S P E Y S I D E, AWARDS SEASON",s
SMILE! :D,Porter Robinson,Electropop,"Cheerleader, Knock Yourself Out XD, Russian Roulette",s
AAA,"HYUKOH, 落日飛車 Sunset Rollercoaster",Soft Rock,"Y, Glue, Kite War",s
GNX,Kendrick Lamar,West Coast Hip Hop,"reincarnated, heart pt. 6, gloria",s
Mahashmashana,Father John Misty,Chamber Pop / Singer-Songwriter,"Mahashmashana, Mental Health, I Guess Time Just Makes Fools of Us All",s
Songs From A Thousand Frames Of Mind,Kate Bollinger,Singer-Songwriter,"Running, To Your Own Devices, Sweet Devil",s
Connecticut Casual: Chapter 2,Apathy,East Coast Hip Hop,"Around The Planet, Connecticut Formal, Never Change",s
Ultra 85,Logic,East Coast Hip Hop,"Ghost in the Machine, Paul Rodriguez, LOVE ME",s
BRAT,Charli xcx,Electropop / Dance Pop,"Von dutch, 360, Talk talk",s
NO HANDS,Joey Valence & Brae,East Coast Hip Hop,"BUSSIT, THE BADDEST, DOUGHBOY",s
God Plays His Piano Drone,rous.,Shoegaze / Dream Pop,"Myrtle Beach SC, Don't Leave, God Plays His Piano Drone",s
Fearless Movement,Kamasi Washington,Jazz Fusion,"Prologue, Asha The First, Get Lit",s
Big Ideas,Remi Wolf,Pop Rock / Dance Pop,"Cinderella, Toro, Soup",s
nobody's listening!,wishlane,Glitch Pop,"String theory, 27 degrees, Burlap scars",s
Escaper,Sarah Kinsley,Indie Pop,"Last Time We Never Meet Again, Escaper, My Name Is Dancing",b
for the rest of your life,twikipedia,Indie Rock / Shoegaze,"room for one, figure me out, far apart",b
Patterns in Repeat,Laura Marling,Singer-Songwriter / Chamber Folk,"No One's Gonna Love You Like I Can, Patterns, Looking Back",b
"Right Place, Wrong Person",RM,R&B / Neo-Soul,"Nuts, Come back to me, LOST!",b
Small Changes,Michael Kiwanuka,Soul,"One And Only, Four Long Years, Small Changes",b
Angel interview,Meaningful Stone,Dream Pop / Shoegaze,"When our hearts beat at the same pace, Supernova, Mikael",b
SHINBANGUMI,Ginger Root,City Pop / Bedroom Pop,"No Problems, There Was A Time, Only You",b
Hyperdrama,Justice,Electro House,"Neverender, Mannequin Love, Saturnine",b
This Ain't The Way You Go Out,Lucy Rose,Singer-Songwriter / Neo-Soul,"Could You Help Me, The Racket, Light As Grass",b
The Great American Bar Scene,Zach Bryan,Country,"Better Days, 28, Purple Gas",b
Wheres My Utopia?,Yard Act,Art Punk / Dance Punk,"Dream Job, The Undertow, We Make Hits",b
Bando Stone and The New World,Childish Gambino,Experimental Hip Hop / Art Pop,"Lithonia, Survive, Steps Beach",b
Keeper of the Shepherd,Hannah Frances,Progressive Folk / Singer-Songwriter,"Bronwyn, Vacant Intimacies, Haunted Landscape Echoing Cave",b
Seed of a Seed,Haley Heynderickx,Singer-Songwriter / Folk,"Mouth of a Flower, Seed of a Seed, Ayan's Song",b
&lt;Dall&gt;,ARTMS,K-Pop,"Candy Crush, Sparkle, Air",b
Underdressed at the Symphony,Faye Webster,Soft Rock / Singer-Songwriter,"Wanna Quit All the Time, Underdressed at the Symphony, Thinking About You",b
Por cesárea,Dillom,Experimental Hip Hop,"Buenos tiempos, Cirugía, Muñecas",b
Where the Butterflies Go in the Rain,Raveena,R&B / Soul,"Pluto, Lucky, Rise",b
Girl Prometheus,Flower Face,"Indie Folk / Singer-Songwriter","Biblical Love, Cat's Cradle, Valentine",b
Flight b741,King Gizzard & The Lizard Wizard,Blues Rock,"Mirage City, Hog Calling Contest, Le Risque",b
empathogen,WILLOW,Art Pop,"symptom of life, pain for fun, false self",b
BUG,Kacy Hill,Indie Pop,"You Know I Love You Still, No One, If I Could Say",b
AMAMA,Crumb,Neo-Psychedelia,"AMAMA, Dust Bunny, Side By Side",b
Fauxllennium,"TV Girl, George Clanton",Neo-Psychedelia / Chillwave,"Summer 2000 Baby, Take a Trip, Everything Blue",b
Twice Around The Sun,Ugly (UK),Art Rock,"I'm Happy You're Here, The Wheel, Icy Windy Sky",b
Feeling Not Found,Origami Angel,Emo Pop,"Where Blue Light Blooms, Feeling Not Found, Fruit Wine",b
The Past Is Still Alive,Hurray For The Riff Raff,Alternative Country,"Alibi, Buffalo, The World Is Dangerous",b
A Lonely Sinner,samlrc,Post-Rock,"Philautia, Sinner, Storge",b
HIT ME HARD AND SOFT,Billie Eilish,Alternative Pop,"BIRDS OF A FEATHER, SKINNY, LUNCH",b
This Could Be Texas,English Teacher,Art Rock,"The World's Biggest Paving Slab, This Could Be Texas, Albatross",b
Keep Your Cool,Riley!,Midwest Emo,"Keep Your Cool Man, 777, Ego Peek Mid",b
What Happened To The Heart?,AURORA,Art Pop,"Your Blood, To Be Alright, The Blade",b
Romance,Fontaines D.C.,Indie Rock / Punk,"Starburster, Favourite, Bug",b
"The Pilgrim, Their God & the King of My Decrepit Mountain",Tapir!,Indie Folk,"On A Grassy Knoll (We'll Bow Together), Gymnopédie, My God",b
Connla's Well,Maruja,Post-Punk / Post-Rock,"The Invisible Man, One Hand Behind The Devil, Resisting Resistance",b
BETA,Peter Cat Recording Co.,Jazz Pop / Sophisti Pop,"Suddenly, 21c, Flowers R. Blooming",b
I Got Heaven,Mannequin Pussy,Indie Rock / Punk Rock,"I Got Heaven, Nothing Like, I Don't Know You",b
AQUARIUM CITY,Louie Zong,City Pop / Jazz,"MACKEREL MILE, AQUARIUM CITY, EEL EXPRESS",b
