Album,Artist,Genre,Release Date,Listened On,Favorite Songs,Rating
you seem pretty sad for a girl so in love,Olivia Rodrigo,Pop Rock,1/1/2026,,"drop dead, the cure, cigarette smoke",g
U,underscores,Electropop,1/1/2026,,"Lovefield, Music, Do It",g
Swans Today,Paulie Swan,Singer-Songwriter,1/1/2026,,"Shiner (The Cape), Plaster, Me vs. Mothra",g
Superbloom,Jessie Ware,Dance-Pop / Disco,1/1/2026,,"Love You For, Don’t You Know Who I Am?, I Could Get Used To This",s
Kurage,Mei Semones,Chamber Pop / Bossa Nova,1/1/2026,,"Tooth Fairy, Koneko, Kurage",s
The Mountain,Gorillaz,Art Pop,1/1/2026,,"The Moon Cave (feat. Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda and Black Thought), The Plastic Guru (feat. Johnny Marr and Anoushka Shankar), The Happy Dictator (feat. Sparks)",s
REDSTAR WU & THE WORLDWIDE SCOURGE,Genesis Owusu,Post-Punk Revival / Hip Hop,1/1/2026,,"THE WORLDWIDE SCOURGE, STAMPEDE, PIRATE RADIO",s
"Run, Run Pure Beauty",Francis of Delirium,Indie Rock,1/1/2026,,"Little Black Dress, Out Tonight, It's a Beautiful Life",s
Is it gonna happen again？,jody积融,Alternative R&B / Electronic,1/1/2026,,"Cocoon, Hush!, keep it in the fridge",s
WOR$T GIRL IN AMERICA,Slayyyter,Electropop,1/1/2026,,"DANCE..., CANNIBALISM!, BEAT UP CHANEL$",s
autogratis,Chanpan,Breakbeat / Alt-Pop,1/1/2026,,"jesus in china (overflow), i got a gun, buzzin",s
Sweet Fortune,Ryan Beatty,Singer-Songwriter / Folk Pop,1/1/2026,,"Phantom, White Lightning, Too Many Ways",s
Something Worth Waiting For,Friko,Indie Rock,1/1/2026,,"Something Worth Waiting For, Alice, Still Around",s
二人称,ヨルシカ,Indie Pop / J-Pop,1/1/2026,,"花も騒めく, 魔性, 千鳥",s
The Wow! Signal,Muse,Alternative Rock,1/1/2026,,"Hush, Nightshift Superstar, Cryogen",s
trinket,tsubi club,Hyperpop / Indietronica,1/1/2026,,"BURNMATERIAL, ( ╥﹏╥ ), lil qoo",s
bitknot,feeble little horse,Slacker Rock / Indietronica,1/1/2026,,"Rewind, Dior, Doorway",s
Distracted,Thundercat,Neo-Psychedelia / Psychedelic Soul,1/1/2026,,"She Knows Too Much, Candlelight, I Did This To Myself",b
Angel in Plainclothes,Angelo De Augustine,Singer-Songwriter / Indie Folk,1/1/2026,,"Empty Shell, The Cure, Mirror Mirror",b
the apple tree under the sea,hemlocke springs,Synthpop / Dance-Pop,1/1/2026,,"the beginning of the end, sense (is), sever the blight",b
花落知多少,君島大空,Indie Folk / Singer-Songwriter,1/1/2026,,"琥珀の遠景, Q, 星玻璃",b
PLANET FROG,Action Bronson,Jazz Rap / Abstract Hip Hop,1/1/2026,,"LEBRON HENNESSY, OLYMPIC VINCE CARTER, CONDOR",b
"unlikely, maybe",Bruno Pernadas,Jazz Fusion / Neo-Psychedelia,1/1/2026,,"Untitled (raindrops), Campus on Fire, His world (feat. Margarida Campelo)",b
No Ritmo da Terra,Antropoceno,Post-Rock / Art Rock,1/1/2026,,"Ayaba Oxum, Oyá Dewo, Ìranti Odé",b
My Heart Is A Room With No Cameras In It,Victoryland,Indie Rock,1/1/2026,,"Here I Stand, I’ll Show You Mine, No Cameras",b
e.t.d.s. A Mixtape by .idk.,IDK,East Coast Hip Hop,1/1/2026,,"CLOVER, HALO [Prd. by No ID & Daoud], LiFE 4 A LiFE",b
locket,Madison Beer,Alt-Pop,1/1/2026,,"make you mine, yes baby, locket theme",b
Blue Angel Sparkling Silver 2,Quiet Light,Indietronica / Bedroom Pop,1/1/2026,,"Berlin, Postinternetfame, Self Tape",b
INFINITY SONG,Infinity Song,Soft Rock,1/1/2026,,"Sayonara, Hurricane, Deja Vu",b
My New Band Believe,My New Band Believe,Progressive Folk,1/1/2026,,"Target Practice, In the Blink of an Eye, Heart of Darkness",b
TRUTHBUSTER,Noridogam,Neo-Psychedelia,1/1/2026,,"Today, Today, Truthbuster, Echo",b
Queen of Texas,Solya,Dream P`op / Alt-Country,1/1/2026,,"Queen of Texas, Is This Love??, Silver Swan",b
Ricochet,Snail Mail,Indie Rock,1/1/2026,,"Tractor Beam, My Maker, Dead End",b
