Song,Artist,Album,Genre
THE WORLDWIDE SCOURGE,Genesis Owusu,REDSTAR WU & THE WORLDWIDE SCOURGE,-
Lovefield,underscores,U,Electropop
Shiner (The Cape),Paulie Swan,Swans Today,-
Caught In A Jam,Portraits Of Tracy,Caught In A Jam,-
Tooth Fairy,John Roseboro,Kurage,Chamber Pop / Bossa Nova
limn,isobel,limn,Indie Folk / Indie Pop
Something Worth Waiting For,Friko,Something Worth Waiting For,-
drop dead,Olivia Rodrigo,you seem pretty sad for a girl so in love,-
the feeling,Steve Lacy,Oh yeah?,-
DANCE...,Slayyyter,WOR$T GIRL IN AMERICA,Electropop
THEMSELVES,Jordan Ward,BACKWARD,Alternative R&B / Neo-Soul
Little Black Dress,Francis of Delirium,"Run, Run Pure Beauty",-
Phantom,Ryan Beatty,Sweet Fortune,-
Ayaba Oxum,Antropoceno,No Ritmo da Terra,Post-Rock / Art Rock
CLOVER,IDK,e.t.d.s. A Mixtape by .idk.,East Coast Hip Hop
make you mine,Madison Beer,locket,-
Rewind,feeble little horse,bitknot,-
Picture Day,The Fencesitters,Picture Day,-
She Knows Too Much,Thundercat,Distracted,Neo-Psychedelia / Psychedelic Soul
Madwoman,Laufey,A Matter of Time: The Final Hour,Jazz Pop / Bossa Nova
Postinternetfame,Quiet Light,Blue Angel Sparkling Silver 2,-
keep it in the fridge,jody积融,Is it gonna happen again？,-
花も騒めく,ヨルシカ,二人称,Indie Pop / J-Pop
I’ll Show You Mine,Victoryland,My Heart Is A Room With No Cameras In It,Indie Rock
BODY,Ritt Momney,BASE,Neo-Psychedelia / Bedroom Pop
jesus in china (overflow),Chanpan,autogratis,-
Hush,Muse,The Wow! Signal,-
Proof,Choker,Heaven Ain't Sold,	Alternative R&B / Art Pop
in my passenger seat,yulia,"Kindness, she's so Jealous",-
琥珀の遠景,君島大空,花落知多少,-
Untitled (raindrops),Bruno Pernadas,"unlikely, maybe",Jazz Fusion / Neo-Psychedelia
LEBRON HENNESSY,Action Bronson,PLANET FROG,-
Cover You,Lowertown,Ugly Duckling Union,-
Touch Me,Sophie May,Stars and Teeth,-
"Today, Today",Noridogam,TRUTHBUSTER,Neo-Psychedelia
Slow Burn,Sweet Pill,Still There’s a Glow,Midwest Emo
Maybe I'm the Reason,Dev Lemons,Maybe I'm the Reason / Be Cool,	Bedroom Pop / Dream Pop
Brain Fog,slayr,Half Blood (BloodLuxe),Rage / Pop Rap
Wasted Time,Papooz,Papooz & Friends,Indie Pop / Sophisti-Pop
SLATHER ON THE HONEY,Clothesline From Hell,SLATHER ON THE HONEY,	Indie Rock
City North,Shea,Eskipade,Shoegaze
toothless coal,Nothing,a short history of decay,Shoegaze / Indie Rock
My Maker,Snail Mail,Ricochet,Indie Rock
Queen of Texas,Solya,Queen of Texas,Dream Pop / Alt-Country
The End,Ninush,The Flowers I See You In,	Art Pop / Singer-Songwriter
One More Song,Robert Lester Folsom,"If You Wanna Laugh, You Gotta Cry Sometimes",Folk Pop / Singer-Songwriter
Risk It All,Bruno Mars,The Romantic,Pop Soul
ANGEL,Quarters,I HOPE THIS ISN’T THE END OF THE WORLD,Alternative Rock
Pindrop,Ruby Plume,Spinstress,Singer-Songwriter / Indie Pop
Take Heart,Lucid Express,Instant Comfort,Shoegaze
Baby Steps,Quadeca,Baby Steps,-
Sand,Swapmeet,Sand,-
