"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"1Watson","Bar","✓","medium","Rooftop bar, pretty at sunset","29.425359,-98.4957451","https://maps.google.com/maps?q=+%4029.425359,-98.4957451","https://www.google.com/maps/place/1Watson/data=!4m2!3m1!1s0x865c592d0fbfd24b:0xf3f94e9e404d5fd2"
"2M Smokehouse","BBQ",,"low",,"29.3824943,-98.4075026","https://maps.google.com/maps?q=+%4029.3824943,-98.4075026","https://www.google.com/maps/place/2M+Smokehouse/data=!4m2!3m1!1s0x865cf7285d544c3f:0xe0e431d387677804"
"A Dong","Vietnamese / Chinese",,"medium",,"29.5641311,-98.5892926","https://maps.google.com/maps?q=+%4029.5641311,-98.5892926","https://www.google.com/maps/place/A+Dong+Vietnamese+%26+Chinese+Restaurant+@DeZavala/data=!4m2!3m1!1s0x865c66dbc5b46e9d:0xc71fbc76cf23fc14"
"Abu Omar Halal","Middle Eastern","✓","medium",,"29.5769754,-98.6274322","https://maps.google.com/maps?q=+%4029.5769754,-98.6274322","https://www.google.com/maps/place/Abu+Omar+Halal+-+San+Antonio,+TX/data=!4m2!3m1!1s0x865c665d71aab84b:0x6a41bb4a3af1dcd9"
"Afghan Bakery & SheerYakh","Afghan / Bakery",,"low",,"29.5202872,-98.5747101","https://maps.google.com/maps?q=+%4029.5202872,-98.5747101","https://www.google.com/maps/place/Afghan+Bakery+%26+SheerYakh,+@BakeryABS/data=!4m2!3m1!1s0x865c6190cd85b147:0xd3ac2bfc59d5994e"
"Afghan Village","Afghan",,"medium","Market & restaurant","29.4822252,-98.5467956","https://maps.google.com/maps?q=+%4029.4822252,-98.5467956","https://www.google.com/maps/place/Afghan+Village+Restaurant+%26+Afghan+Halal+Market/data=!4m2!3m1!1s0x865c5fb677d07515:0x29ada7518790242d"
"Al Carbon Pollos Asados","Mexican",,"low",,"29.4441833,-98.515702","https://maps.google.com/maps?q=+%4029.4441833,-98.515702","https://www.google.com/maps/place/Al+Carbon+Pollos+Asados+-+Culebra+%232/data=!4m2!3m1!1s0x865c5f01dce2f92d:0x14e6f9e98451faac"
"Alamo Cafe","Tex-Mex",,"low",,"29.5713947,-98.481482","https://maps.google.com/maps?q=+%4029.5713947,-98.481482","https://www.google.com/maps/place/Alamo+Cafe/data=!4m2!3m1!1s0x865c8a7be20e2253:0xb0a1e9b0598ba136"
"Alamo Cafe (2)","Tex-Mex",,"low",,"29.4263466,-98.4918356","https://www.google.com/maps/place/Alamo+Cafe/@29.533952,-98.5663258,954m/data=!3m1!1e3!4m6!3m5!1s0x865c60b673c8cf91:0x4bb024916358b28!8m2!3d29.533952!4d-98.5663258!16s%2Fg%2F1tfg82k0?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Alamo+Cafe/data=!4m2!3m1!1s0x865c60b673c8cf91:0x4bb024916358b28"
"Aldo's Ristorante Italiano","Italian",,"low",,"29.6480915,-98.6270176","https://maps.google.com/maps?q=+%4029.6480915,-98.6270176","https://www.google.com/maps/place/Aldo's+Ristorante+Italiano/data=!4m2!3m1!1s0x865c6753195e4489:0x1b4038b43368899c"
"Allora","Italian",,"medium",,"29.442342,-98.4805066","https://maps.google.com/maps?q=+%4029.442342,-98.4805066","https://www.google.com/maps/place/Allora/data=!4m2!3m1!1s0x865cf5bca6f59cfd:0x2ebd50b8d0a0859d"
"April's Chinese","Chinese",,"low",,"29.413605,-98.5067879","https://maps.google.com/maps?q=+%4029.413605,-98.5067879","https://www.google.com/maps/place/April's+Chinese+Restaurant/data=!4m2!3m1!1s0x865c58b7902a0d87:0x3a183cbe96babb67"
"Artea - De Zavala","Taiwanese",,"low",,"29.5626159,-98.614381","https://maps.google.com/maps?q=+%4029.5626159,-98.614381","https://www.google.com/maps/place/Artea+-+De+Zavala/data=!4m2!3m1!1s0x865c66f916784203:0xcf5f3cc3d6142289"
"Artea Bubble Tea + Eats","Taiwanese",,"low",,"29.5028376,-98.7021032","https://maps.google.com/maps?q=+%4029.5028376,-98.7021032","https://www.google.com/maps/place/Artea+Bubble+Tea+%2B+Eats/data=!4m2!3m1!1s0x865c4390166a98a1:0x69b92ba07564ea33"
"Asia Chinese Cuisine","Chinese",,"low",,"29.4659643,-98.6479662","https://maps.google.com/maps?q=+%4029.4659643,-98.6479662","https://www.google.com/maps/place/Asia+Chinese+Cuisine/data=!4m2!3m1!1s0x865c5d26926cf949:0xb46d3b9964fb2b5c"
"Asia Kitchen","Thai",,"medium",,"29.413047,-98.6537112","https://maps.google.com/maps?q=+%4029.413047,-98.6537112","https://www.google.com/maps/place/Asia+Kitchen/data=!4m2!3m1!1s0x865c5b57d769a967:0x474c3de3488835e8"
"Asian Star Super Buffet","Chinese",,"low",,"29.5318151,-98.5678463","https://maps.google.com/maps?q=+%4029.5318151,-98.5678463","https://www.google.com/maps/place/Asian+Star+Super+Buffet/data=!4m2!3m1!1s0x865c60b694afab0f:0xf021c20f9de60085"
"Bakudan Ramen","Japanese / Ramen","✓","low",,"29.6102573,-98.6012566","https://maps.google.com/maps?q=+%4029.6102573,-98.6012566","https://www.google.com/maps/place/Bakudan+Ramen/data=!4m2!3m1!1s0x865c653b5ded8f57:0xc0606df2315dcf58"
"Bamboo","Chinese",,"low",,"29.4057661,-98.5027714","https://maps.google.com/maps?q=+%4029.4057661,-98.5027714","https://www.google.com/maps/place/Bamboo/data=!4m2!3m1!1s0x865c59dba3ddd9ad:0x7580f296462ed3c8"
"Barbaro","Pizza",,"low",,"29.4556976,-98.4942627","https://maps.google.com/maps?q=+%4029.4556976,-98.4942627","https://www.google.com/maps/place/Barbaro/data=!4m2!3m1!1s0x865c5f644638122b:0xb74d041b4bf460e8"
"Battalion","Italian",,"medium",,"29.4177677,-98.4906872","https://maps.google.com/maps?q=+%4029.4177677,-98.4906872","https://www.google.com/maps/place/Battalion/data=!4m2!3m1!1s0x865c58a916dd5581:0x5bf00f6a25d7c2bd"
"Beethoven Maennerchor","German",,"low",,"29.4118174,-98.4943887","https://maps.google.com/maps?q=+%4029.4118174,-98.4943887","https://www.google.com/maps/place/Beethoven+Maennerchor/data=!4m2!3m1!1s0x865c58a5bac24971:0xf9f3ecab5ff6b633"
"Best Quality Daughter","Fusion",,"medium","Asian-American (Chinese, Taiwanese, Thai, Tex-Mex, Southern)","29.4414957,-98.4817987","https://maps.google.com/maps?q=+%4029.4414957,-98.4817987","https://www.google.com/maps/place/Best+Quality+Daughter/data=!4m2!3m1!1s0x865cf5e845e4f2a9:0xd5ee6a445640c9af"
"Bilia Eatery","Cuban / Sandwich",,"high",,"29.5281555,-98.5223218","https://maps.google.com/maps?q=+%4029.5281555,-98.5223218","https://www.google.com/maps/place/Bilia+Eatery/data=!4m2!3m1!1s0x865c616dd1cad5e3:0x97ee41fcbfc6a133"
"Biryani Pot","Indian",,"medium",,"29.5292828,-98.5956078","https://maps.google.com/maps?q=+%4029.5292828,-98.5956078","https://www.google.com/maps/place/Biryani+Pot/data=!4m2!3m1!1s0x865c6741e83a5df7:0x9e18d7c6cdce2b65"
"Bliss","American",,"low",,"29.4112858,-98.4896094","https://maps.google.com/maps?q=+%4029.4112858,-98.4896094","https://www.google.com/maps/place/Bliss/data=!4m2!3m1!1s0x865c58a65537f88b:0xcd8c2cc5e9a017a1"
"Bohanan's Prime Steaks and Seafood","Steak",,"low",,"29.4267169,-98.4929525","https://maps.google.com/maps?q=+%4029.4267169,-98.4929525","https://www.google.com/maps/place/Bohanan's+Prime+Steaks+and+Seafood/data=!4m2!3m1!1s0x865c5f52f972896d:0x14cff333967ab7e3"
"Boudro's on the Riverwalk","American",,"low",,"29.4240604,-98.4909127","https://maps.google.com/maps?q=+%4029.4240604,-98.4909127","https://www.google.com/maps/place/Boudro's+on+the+Riverwalk/data=!4m2!3m1!1s0x865c58ab3f8c1475:0x4b6c70b9b48686e6"
